Iterations,Learning loss,Accuracy,Test loss
13950,"0,153117",,
14000,"0,267761","0,871362","0,327927"
14050,"0,163835",,
14100,"0,180421",,
14150,"0,175676",,
14200,"0,19517",,
14250,"0,172348",,
14300,"0,150375",,
14350,"0,201632",,
14400,"0,158138",,
14450,"0,321918",,
14500,"0,195678",,
14550,"0,172487",,
14600,"0,132212",,
14650,"0,250081",,
14700,"0,125034",,
14750,"0,221452",,
14800,"0,211273",,
14850,"0,196887",,
14900,"0,194919",,
14950,"0,186645",,
15000,"0,190997","0,871362","0,327927"
